chr,n_snps,mean_beta,mean_eaf,min_p
1,129,0.026,0.499,1.5e-20
2,373,0.0064,0.339,3e-47
3,649,0.0502,0.35,1.7e-28
4,76,-0.0373,0.301,2.3e-13
5,865,0.0474,0.33,2.1e-48
6,99,0.09,0.266,6.7e-23
7,1,-0.062,0.254,2.2e-08
8,259,0.0277,0.41,1.2e-27
9,264,0.0669,0.4,6e-28
10,509,0.0954,0.234,6.7e-133
11,169,0.0241,0.284,4.3e-64
12,169,-0.078,0.326,4.1e-28
14,125,-0.0222,0.253,1.2e-16
16,318,0.0132,0.363,3e-92
17,96,-0.0222,0.425,9.1e-15
19,144,-0.0708,0.311,1.8e-15
21,78,-0.0728,0.284,5.2e-14
22,331,0.1101,0.138,2.5e-18
